Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,4.7uF,
"C10, C11, C12, C7, C8, C9",0603,6,22uF,
"C103, C104, C105, C13, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",0201,90,100nF,
"C5, C6",0603,2,1uF,
"IC1, IC2, IC3",SOP50P326X110-16N,3,SN74HCS165DYYR,
J1,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,1,Conn_01x02_Socket,
"J11, J15, J4",CONN-SMD_164P-P1.00-X3113WVS-164-9TV01,3,Bus_PCI_Express_x16_Blade,C5711234
J2,CONN-TH_2EG04927-D2LN-DF,1,Bus_PCI_Express_x8,C5141736
J3,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_14P,
R1,0603,1,20kOhm,
"R10, R102, R105, R108, R11, R111, R114, R117, R12, R120, R123, R126, R129, R13, R132, R135, R138, R14, R141, R144, R145, R146, R147, R148, R149, R15, R150, R151, R152, R153, R154, R155, R156, R157, R158, R159, R16, R160, R161, R162, R163, R164, R165, R166, R17, R18, R19, R20, R21, R22, R23, R24, R27, R30, R33, R36, R39, R42, R45, R48, R51, R54, R57, R6, R60, R63, R66, R69, R7, R72, R75, R78, R8, R81, R84, R87, R9, R90, R93, R96, R99",0201,81,5.1K,
R2,0603,1,23.2kOhm,
"R3, R5",0603,2,10kOhm,
R4,0603,1,40.2kOhm,
"U1, U2",RDN0011A-MFG_custom,2,TPSM33625RDNR,
"U10, U11, U12, U17, U18, U19, U20, U21, U22, U27, U28, U29, U30, U33, U34, U35, U36, U37, U42, U43, U44, U45, U46, U47, U52, U53, U54, U55, U58, U59, U60, U61, U62, U67, U68, U69, U70, U71, U72, U77, U78, U79, U8, U80, U9",RSV0016A-MFG,45,TMUX1511RSVR,
"U13, U16, U23, U24, U25, U26, U38, U41, U48, U49, U50, U51, U63, U66, U73, U74, U75, U76",TQFN-16_L2.5-W2.5-P0.40-BL-EP1.4,18,74HC595,C2682068
"U14, U3, U39, U64",TQFN-16_L2.5-W2.5-P0.40-BL-EP1.4,4,74HC595,
"U15, U40, U65",RSW10_TEX,3,TS3USB30ERSWR,
"U31, U32, U56, U57, U6, U7",TSOT-23-8,6,TCA9416DDFR,
U4,SOT-363_SC-70-6,1,SiP32431DR3,
