Designator,Mid X,Mid Y,Rotation,Layer
C1,14.3464,-115.982,0.0,top
C10,13.38,-105.05,90.0,top
C103,61.45,-107.905,270.0,top
C104,92.232289,-170.986934,0.0,top
C105,37.945,-160.525,180.0,top
C11,4.2524,-120.6302,270.0,top
C12,11.05,-105.05,90.0,top
C13,92.91,-191.025,0.0,top
C16,61.3,-141.305,270.0,top
C17,60.52,-165.8,0.0,top
C18,61.35,-132.905,270.0,top
C19,68.18,-110.75,0.0,top
C2,5.225,-107.8,180.0,top
C20,68.205,-150.55,0.0,top
C21,68.155,-114.75,0.0,top
C22,68.28,-165.025,0.0,top
C23,68.23,-153.1,0.0,top
C24,61.25,-124.655,270.0,top
C25,62.92,-176.4,0.0,top
C26,68.255,-142.8,0.0,top
C27,68.38,-130.8,0.0,top
C28,67.525,-182.9,0.0,top
C29,68.405,-134.75,0.0,top
C3,14.3464,-118.141,0.0,top
C30,68.28,-151.675,0.0,top
C31,67.23,-171.0,0.0,top
C32,68.2,-106.805,0.0,top
C33,61.3,-116.295,270.0,top
C34,79.13,-192.3,0.0,top
C35,62.945,-160.525,180.0,top
C36,62.63,-148.85,180.0,top
C37,60.52,-171.85,0.0,top
C38,68.28,-126.8,0.0,top
C39,62.98,-154.225,0.0,top
C4,5.3,-110.05,180.0,top
C40,68.245,-118.8,0.0,top
C41,68.255,-138.75,0.0,top
C42,87.922289,-176.386934,0.0,top
C43,93.382289,-130.786934,0.0,top
C44,86.252289,-124.641934,270.0,top
C45,93.257289,-142.786934,0.0,top
C46,93.182289,-110.736934,0.0,top
C47,93.157289,-114.736934,0.0,top
C48,87.947289,-160.511934,180.0,top
C49,93.282289,-165.011934,0.0,top
C5,13.305,-125.634,180.0,top
C50,85.522289,-171.836934,0.0,top
C51,87.632289,-148.836934,180.0,top
C52,87.982289,-154.211934,0.0,top
C53,86.302289,-141.291934,270.0,top
C54,93.407289,-134.736934,0.0,top
C55,93.307289,-122.836934,0.0,top
C56,86.352289,-132.891934,270.0,top
C57,86.302289,-116.281934,270.0,top
C58,86.452289,-107.891934,270.0,top
C59,93.282289,-162.061934,0.0,top
C6,5.35,-100.3,0.0,top
C60,93.247289,-118.786934,0.0,top
C61,93.257289,-138.736934,0.0,top
C62,92.527289,-182.886934,0.0,top
C63,85.522289,-165.786934,0.0,top
C64,93.232289,-153.086934,0.0,top
C65,93.282289,-126.786934,0.0,top
C66,93.282289,-151.661934,0.0,top
C67,93.202289,-106.791934,0.0,top
C68,37.63,-148.85,180.0,top
C69,35.52,-165.8,0.0,top
C7,8.5196,-120.6302,270.0,top
C70,35.52,-171.85,0.0,top
C71,37.92,-176.4,0.0,top
C72,42.525,-182.9,0.0,top
C73,43.23,-153.1,0.0,top
C74,43.28,-162.075,0.0,top
C75,43.28,-165.025,0.0,top
C76,42.23,-171.0,0.0,top
C77,37.98,-154.225,0.0,top
C78,54.13,-192.3,0.0,top
C79,36.3,-116.295,270.0,top
C8,15.55,-105.05,90.0,top
C80,43.255,-138.75,0.0,top
C81,43.255,-142.8,0.0,top
C82,43.38,-130.8,0.0,top
C83,43.405,-134.75,0.0,top
C84,43.305,-122.85,0.0,top
C85,43.28,-126.8,0.0,top
C86,36.3,-141.305,270.0,top
C87,36.35,-132.905,270.0,top
C88,36.25,-124.655,270.0,top
C89,36.45,-107.905,270.0,top
C9,6.386,-120.6302,270.0,top
C90,43.2,-106.805,0.0,top
C91,43.18,-110.75,0.0,top
C92,43.155,-114.75,0.0,top
C93,43.245,-118.8,0.0,top
C94,68.305,-122.85,0.0,top
C95,104.132289,-192.286934,0.0,top
C96,43.205,-150.55,0.0,top
C97,68.28,-162.075,0.0,top
C98,93.207289,-150.536934,0.0,top
C99,43.28,-151.675,0.0,top
IC1,65.862,-146.85,180.0,top
IC2,90.864289,-146.836934,180.0,top
IC3,40.862,-146.85,180.0,top
J1,20.225,-137.425,0.0,top
J11,99.509789,-145.736934,90.0,top
J15,49.5075,-145.75,90.0,top
J2,6.05,-159.6125,90.0,top
J3,13.776,-86.717174,180.0,top
J4,74.5075,-145.75,90.0,top
R1,17.308,-119.1335,90.0,top
R10,61.42,-146.75,180.0,top
R102,21.58,-89.1,180.0,top
R105,25.355,-88.7,180.0,top
R108,28.205,-88.3,180.0,top
R11,86.422289,-146.736934,180.0,top
R111,21.58,-87.9,180.0,top
R114,25.355,-87.5,180.0,top
R117,28.205,-87.1,180.0,top
R12,36.42,-146.75,180.0,top
R120,21.58,-86.7,180.0,top
R123,25.355,-86.3,180.0,top
R126,28.205,-85.9,180.0,top
R129,21.58,-85.5,180.0,top
R13,61.4125,-145.95,180.0,top
R132,25.355,-85.1,180.0,top
R135,28.205,-84.7,180.0,top
R138,21.58,-84.3,180.0,top
R14,86.414789,-145.936934,180.0,top
R141,25.355,-83.9,180.0,top
R144,28.205,-83.5,180.0,top
R145,428.17,-200.675,0.0,top
R146,428.17,-197.375,0.0,top
R147,428.17,-198.2,0.0,top
R148,428.17,-199.025,0.0,top
R149,428.17,-199.85,0.0,top
R15,36.4125,-145.95,180.0,top
R150,421.28,-199.882143,0.0,top
R151,421.28,-200.671429,0.0,top
R152,421.28,-202.25,0.0,top
R153,421.28,-203.039286,0.0,top
R154,421.28,-201.460714,0.0,top
R155,421.28,-203.828572,0.0,top
R156,421.28,-205.407143,0.0,top
R157,421.28,-204.617857,0.0,top
R158,422.275,-208.845,270.0,top
R159,421.5375,-208.845,270.0,top
R16,61.4275,-145.15,180.0,top
R160,420.8,-208.845,270.0,top
R161,420.0625,-208.845,270.0,top
R162,419.325,-208.845,270.0,top
R163,417.15,-208.845,270.0,top
R164,416.425,-208.845,270.0,top
R165,418.6,-208.845,270.0,top
R166,417.875,-208.845,270.0,top
R17,86.429789,-145.136934,180.0,top
R18,36.4275,-145.15,180.0,top
R19,61.405,-144.35,180.0,top
R2,16.7238,-127.1307,90.0,top
R20,86.407289,-144.336934,180.0,top
R21,36.405,-144.35,180.0,top
R22,61.435,-147.55,180.0,top
R23,86.437289,-147.536934,180.0,top
R24,36.435,-147.55,180.0,top
R27,28.205,-99.1,180.0,top
R3,16.7238,-123.7271,90.0,top
R30,21.58,-98.7,180.0,top
R33,25.355,-98.3,180.0,top
R36,28.205,-97.9,180.0,top
R39,21.58,-97.5,180.0,top
R4,11.55,-99.05,180.0,top
R42,25.355,-97.1,180.0,top
R45,28.205,-96.7,180.0,top
R48,21.58,-96.3,180.0,top
R5,8.67,-99.8625,270.0,top
R51,25.355,-95.9,180.0,top
R54,28.205,-95.5,180.0,top
R57,21.58,-95.1,180.0,top
R6,11.301,-92.692174,180.0,top
R60,25.355,-94.7,180.0,top
R63,28.205,-94.3,180.0,top
R66,21.58,-93.9,180.0,top
R69,25.355,-93.5,180.0,top
R7,10.046,-92.337174,270.0,top
R72,28.205,-93.1,180.0,top
R75,21.58,-92.7,180.0,top
R78,25.355,-92.3,180.0,top
R8,12.546,-92.337174,270.0,top
R81,28.205,-91.9,180.0,top
R84,21.58,-91.5,180.0,top
R87,25.355,-91.1,180.0,top
R9,9.246,-92.337174,270.0,top
R90,28.205,-90.7,180.0,top
R93,21.58,-90.3,180.0,top
R96,25.355,-89.9,180.0,top
R99,28.205,-89.5,180.0,top
U1,12.526498,-121.618998,270.0,top
U10,66.0075,-151.75,180.0,top
U11,66.0075,-168.8,180.0,top
U12,66.0075,-163.75,180.0,top
U13,60.61,-152.5,90.0,top
U14,60.61,-175.2,90.0,top
U15,78.199951,-194.699999,270.0,top
U16,60.61,-113.65,90.0,top
U17,66.0075,-137.430559,180.0,top
U18,66.0075,-141.425004,180.0,top
U19,66.0075,-129.441669,180.0,top
U2,7.134999,-104.065,90.0,top
U20,66.0075,-133.436114,180.0,top
U21,66.0075,-121.45278,180.0,top
U22,66.0075,-125.447224,180.0,top
U23,60.61,-138.4,90.0,top
U24,60.61,-130.15,90.0,top
U25,60.61,-121.9,90.0,top
U26,60.61,-105.4,90.0,top
U27,66.0075,-105.475,180.0,top
U28,66.0075,-109.469445,180.0,top
U29,66.0075,-113.46389,180.0,top
U3,90.19,-191.625,180.0,top
U30,66.0075,-117.458335,180.0,top
U31,86.839789,-169.061934,0.0,top
U32,86.839789,-163.611934,0.0,top
U33,91.009789,-180.236934,180.0,top
U34,91.009789,-159.486934,180.0,top
U35,91.009789,-151.736934,180.0,top
U36,91.009789,-168.786934,180.0,top
U37,91.009789,-163.736934,180.0,top
U38,85.612289,-152.486934,90.0,top
U39,85.612289,-175.186934,90.0,top
U4,10.475,-95.65,180.0,top
U40,103.20224,-194.686933,270.0,top
U41,85.612289,-113.636934,90.0,top
U42,91.009789,-137.417493,180.0,top
U43,91.009789,-141.411938,180.0,top
U44,91.009789,-129.428603,180.0,top
U45,91.009789,-133.423048,180.0,top
U46,91.009789,-121.439714,180.0,top
U47,91.009789,-125.434158,180.0,top
U48,85.612289,-138.386934,90.0,top
U49,85.612289,-130.136934,90.0,top
U50,85.612289,-121.886934,90.0,top
U51,85.612289,-105.386934,90.0,top
U52,91.009789,-105.461934,180.0,top
U53,91.009789,-109.456379,180.0,top
U54,91.009789,-113.450824,180.0,top
U55,91.009789,-117.445269,180.0,top
U56,36.8375,-169.075,0.0,top
U57,36.8375,-163.625,0.0,top
U58,41.0075,-180.25,180.0,top
U59,41.0075,-159.5,180.0,top
U6,61.8375,-169.075,0.0,top
U60,41.0075,-151.75,180.0,top
U61,41.0075,-168.8,180.0,top
U62,41.0075,-163.75,180.0,top
U63,35.61,-152.5,90.0,top
U64,35.61,-175.2,90.0,top
U65,53.199951,-194.699999,270.0,top
U66,35.61,-113.65,90.0,top
U67,41.0075,-137.430559,180.0,top
U68,41.0075,-141.425004,180.0,top
U69,41.0075,-129.441669,180.0,top
U7,61.8375,-163.625,0.0,top
U70,41.0075,-133.436114,180.0,top
U71,41.0075,-121.45278,180.0,top
U72,41.0075,-125.447224,180.0,top
U73,35.61,-138.4,90.0,top
U74,35.61,-130.15,90.0,top
U75,35.61,-121.9,90.0,top
U76,35.61,-105.4,90.0,top
U77,41.0075,-105.475,180.0,top
U78,41.0075,-109.469445,180.0,top
U79,41.0075,-113.46389,180.0,top
U8,66.0075,-180.25,180.0,top
U80,41.0075,-117.458335,180.0,top
U9,66.0075,-159.5,180.0,top
