Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C2, C3",805,6,22uF,
"C13, C14, C15, C16, C17, C18, C20",1210,7,100uF,
"C4, C7",805,2,4.7uF,
"C5, C8",805,2,100nF,
"C6, C9",805,2,1uF,
D1,603,1,LED Green,
J10,HDMI_A_Molex_208658-1001_Horizontal,1,HDMI_A_1.4,
J11,PinHeader_2x07_P2.54mm_Vertical,1,Conn_02x07_Odd_Even,
J2,M.2 M Key socket,1,Bus_M.2_Socket_M,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J5,Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal,2,Conn_01x22_Socket,
J6,RJ45_Hanrun_HR911130A_Horizontal,1,RJ45_Hanrun_HR911130A_Horizontal,C54408
J7,BUS_PCIexpress_x8,1,Bus_PCI_Express_x8,
J9,USB_A_Molex_67643_Horizontal,1,USB_A,
"MODULE3, MODULE4",Raspberry-Pi-5-Compute-Module,2,ComputeModule5-CM5,C597931
R1,805,1,1k,
"R10, R11, R12, R13",805,4,4.7kOhm,
"R3, R4",805,2,470R,
R5,805,1,40.2kOhm,
"R6, R9",805,2,10kOhm,
R7,805,1,20kOhm,
R8,805,1,23.2kOhm,
SW1,KEY-TH_4P-L7.5-W6.8-P4.50-LS7.2,1,1825027-5,
"U1, U2",RDN0011A-MFG_custom,2,TPSM33625RDNR,
