Designator,Mid X,Mid Y,Rotation,Layer
C1,35.6,-168.5,90,top
C10,26.7704,-151.3798,90,top
C11,28.904,-151.3798,90,top
C12,31.0376,-151.3798,90,top
C13,93.75,-125.1,90,top
C14,93.75,-130.05,270,top
C15,56.975,-25.225,0,top
C16,42.6,-126.625,270,top
C17,61.45,-33.025,0,top
C18,60.6,-54.55,0,top
C2,33.43,-168.5,90,top
C20,37.3,-28.65,0,top
C3,31.1,-168.5,90,top
C4,25.35,-171.25,180,top
C5,25.35,-173.5,180,top
C6,25.4,-163.75,0,top
C7,20.9436,-156.028,180,top
C8,20.9436,-153.869,180,top
C9,21.985,-146.376,0,top
D1,15.45,-108.8625,90,top
J10,50.15,-18.02,90,top
J11,92.08,-91.42,180,top
J2,29.35,-89.225,180,top
J3,92.35,-72.46,180,top
J5,64.25,-60.35,0,top
J6,68.885,-22.445,0,top
J9,31.18,-21.255,180,top
MODULE3,88.35,-112.5,180,top
R1,15.45,-112.5375,270,top
R10,42.6875,-152.333333,180,top
R11,42.6875,-149.75,180,top
R12,42.6875,-154.916666,180,top
R13,42.6875,-157.5,180,top
R3,87.5,-26.0125,270,top
R4,85.05,-26.0375,270,top
R5,31.6,-162.5,180,top
R6,28.72,-163.3125,270,top
R7,17.982,-152.8765,270,top
R8,18.5662,-144.8793,270,top
R9,18.5662,-148.2829,270,top
SW1,84.3,-16.275,180,top
U1,27.184999,-167.515,90,top
U2,22.763501,-150.391002,90,top
MODULE4,0,0,0,top
