Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15",0805,2,4.7uF,
"C10, C16, C2, C7, C8, C9",0805,6,100nF,
"C11, C12, C13, C14, C17, C3",0805,6,1uF,
"C18, C19, C20, C4, C5, C6",0805,6,22uF,
CR1,SO-8_STM,1,M24C02-WMN6TP,
"D1, D2, D3",0805,3,LED,
J1,BUS_PCIexpress_x16,1,Bus_PCI_Express_x16_Blade,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J5,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_14P,
R1,0805,1,40.2kOhm,
"R10, R11, R21, R22",0805,4,5.1K,
"R12, R8, R9",0805,3,10k,
"R13, R15, R17, R19",0805,4,1k,
"R14, R16, R18, R2, R20, R25",0805,6,10kOhm,
R23,0805,1,20kOhm,
R24,0805,1,23.2kOhm,
"R3, R4",0805,2,0Ohm,
"R5, R6, R7",0805,3,470,
"SW1, SW2, SW3, SW4, SW6",SW_Push_1P1T_XKB_TS-1187A,5,SW_Push,
"SW5, SW7",SW-TH_DSWB02LHGET,2,DSWB02LHGET,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,SOIC8_ONS,1,CAT25160VI-GT3,
"U3, U5",RDN0011A-MFG_custom,2,TPSM33625RDNR,
U4,RSW10_TEX,1,TS3USB30ERSWR,
