Designator,Mid X,Mid Y,Rotation,Layer
C1,23.5,-163.5,180.0,top
C10,46.7,-159.5,0.0,top
C11,98.2,-27.5,0.0,top
C12,90.008334,-27.8,0.0,top
C13,82.266667,-27.7,0.0,top
C14,74.1875,-27.5,0.0,top
C15,22.6536,-134.168,180.0,top
C16,22.6536,-132.009,180.0,top
C17,23.695,-124.516,0.0,top
C18,28.4804,-129.5198,90.0,top
C19,30.614,-129.5198,90.0,top
C2,23.5,-165.75,180.0,top
C20,32.7476,-129.5198,90.0,top
C3,23.55,-156.0,0.0,top
C4,33.75,-160.75,90.0,top
C5,31.58,-160.75,90.0,top
C6,29.25,-160.75,90.0,top
C7,53.9,-88.25,90.0,top
C8,58.65,-151.5,180.0,top
C9,36.95,-99.7,90.0,top
CR1,44.7,-154.1,270.0,top
D1,48.2625,-13.825,180.0,top
D2,56.6225,-13.825,180.0,top
D3,65.0625,-13.825,180.0,top
J2,44.63,-147.2,90.0,top
J4,111.79,-40.8,90.0,top
J5,38.05,-16.95,180.0,top
R1,29.75,-154.75,180.0,top
R10,45.6,-24.2,270.0,top
R11,29.25,-24.5875,270.0,top
R12,22.7975,-85.49,0.0,top
R13,98.2,-22.9,180.0,top
R14,98.2,-25.1,180.0,top
R15,90.058334,-23.2,180.0,top
R16,90.045834,-25.5,180.0,top
R17,82.166667,-23.1,180.0,top
R18,82.166667,-25.3,180.0,top
R19,74.1375,-23.2,180.0,top
R2,26.87,-155.5625,270.0,top
R20,74.1375,-25.3,180.0,top
R21,31.25,-24.5875,270.0,top
R22,47.6,-24.2,270.0,top
R23,19.692,-131.0165,270.0,top
R24,20.2762,-123.0193,270.0,top
R25,20.2762,-126.4229,270.0,top
R3,89.0875,-91.5,0.0,top
R4,89.0875,-93.5,180.0,top
R5,66.725,-18.2875,270.0,top
R6,58.125,-18.2875,270.0,top
R7,49.625,-18.2875,270.0,top
R8,23.3325,-76.08,0.0,top
R9,34.9175,-76.03,180.0,top
SW1,101.0,-17.0,270.0,top
SW2,93.0,-17.0,270.0,top
SW3,85.0,-17.0,270.0,top
SW4,77.2625,-16.9,270.0,top
SW5,29.08,-72.285,0.0,top
SW6,49.97,-82.725,180.0,top
SW7,28.83,-89.285,0.0,top
U1,65.525,-96.025,0.0,top
U2,57.0801,-155.755,0.0,top
U3,25.334999,-159.765,90.0,top
U4,41.549976,-102.8,0.0,top
U5,24.473501,-128.531002,90.0,top
