Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,4.7uF,
C2,0805,1,100nF,
C3,0805,1,1uF,
"C4, C5, C6",0805,3,22uF,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D5, D54, D55, D56, D57, D58, D6, D7, D8, D9",0805,47,LED,
"J2, J3",BUS_PCIexpress_x16,2,Bus_PCI_Express_x16_Blade,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R5, R55, R56, R57, R58, R59, R6, R7, R8, R9",0805,47,470,
R65,0805,1,20kOhm,
R66,0805,1,23.2kOhm,
R67,0805,1,10kOhm,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP3, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP4, TP40, TP41, TP42, TP43, TP44, TP45, TP46, TP47, TP5, TP6, TP7, TP8, TP9",TestPoint_Keystone_5019_Minature,47,TestPoint,
U1,RDN0011A-MFG_custom,1,TPSM33625RDNR,
