Designator,Mid X,Mid Y,Rotation,Layer
C1,134.2586,-147.252,180.0,top
C2,134.2586,-145.093,180.0,top
C3,135.3,-137.6,0.0,top
C4,140.0854,-142.6038,90.0,top
C5,142.219,-142.6038,90.0,top
C6,144.3526,-142.6038,90.0,top
D10,157.6,-57.0625,90.0,top
D11,136.64,-28.8375,90.0,top
D12,133.1,-28.8625,90.0,top
D13,84.85,-90.5,0.0,top
D14,84.85,-83.09,0.0,top
D15,84.85,-75.68,0.0,top
D16,84.85,-68.27,0.0,top
D17,84.85,-60.86,0.0,top
D18,84.85,-53.45,0.0,top
D19,84.85,-46.04,0.0,top
D2,125.3,-62.3375,90.0,top
D20,84.85,-38.63,0.0,top
D21,84.85,-31.22,0.0,top
D22,84.85,-23.81,0.0,top
D23,84.85,-16.4,0.0,top
D24,132.8,-62.4625,90.0,top
D25,84.85,-86.795,0.0,top
D26,84.85,-79.385,0.0,top
D27,84.85,-71.975,0.0,top
D28,84.85,-64.565,0.0,top
D29,84.85,-57.155,0.0,top
D3,121.4,-62.3375,90.0,top
D30,84.85,-49.745,0.0,top
D31,84.85,-42.335,0.0,top
D32,84.85,-34.925,0.0,top
D33,84.85,-27.515,0.0,top
D34,84.85,-20.105,0.0,top
D35,136.7,-62.4625,90.0,top
D36,140.6,-62.4625,90.0,top
D37,120.46,-28.5625,90.0,top
D38,124.4,-28.5625,90.0,top
D39,144.5,-62.4625,90.0,top
D4,117.4,-62.3375,90.0,top
D40,148.4,-62.4625,90.0,top
D41,161.16,-82.3375,90.0,top
D42,165.1,-82.3375,90.0,top
D43,163.125,-105.1625,90.0,top
D5,147.6,-28.6625,90.0,top
D54,155.6,-28.5625,90.0,top
D55,169.3,-28.5625,90.0,top
D56,165.875,-28.5625,90.0,top
D57,162.45,-28.5625,90.0,top
D58,159.025,-28.5625,90.0,top
D6,144.26,-28.6625,90.0,top
D7,168.7,-57.0625,90.0,top
D8,165.0,-57.0625,90.0,top
D9,161.3,-57.0625,90.0,top
R10,161.3,-62.0125,270.0,top
R11,157.6,-62.0125,270.0,top
R12,136.6,-33.7125,270.0,top
R13,133.1,-33.8125,270.0,top
R14,79.7875,-90.5,180.0,top
R15,79.7875,-83.09,180.0,top
R16,79.7875,-75.68,180.0,top
R17,79.7875,-68.27,180.0,top
R18,79.7875,-60.86,180.0,top
R19,79.7875,-53.45,180.0,top
R20,79.7875,-46.04,180.0,top
R21,79.7875,-38.63,180.0,top
R22,79.7875,-31.22,180.0,top
R23,79.7875,-23.81,180.0,top
R24,79.7875,-16.4,180.0,top
R25,132.8,-67.3875,270.0,top
R26,79.7875,-86.795,180.0,top
R27,79.7875,-79.385,180.0,top
R28,79.7875,-71.975,180.0,top
R29,79.7875,-64.565,180.0,top
R3,125.35,-67.6875,270.0,top
R30,79.7875,-57.155,180.0,top
R31,79.7875,-49.745,180.0,top
R32,79.7875,-42.335,180.0,top
R33,79.7875,-34.925,180.0,top
R34,79.7875,-27.515,180.0,top
R35,79.7875,-20.105,180.0,top
R36,136.7,-67.3875,270.0,top
R37,140.6,-67.3875,270.0,top
R38,120.4,-33.1875,270.0,top
R39,124.4,-33.1875,270.0,top
R4,121.325,-67.6875,270.0,top
R40,144.5,-67.3875,270.0,top
R41,148.4,-67.3875,270.0,top
R42,161.2,-86.9875,270.0,top
R43,165.1,-86.9875,270.0,top
R44,163.1,-110.1625,270.0,top
R5,117.3,-67.6875,270.0,top
R55,155.6,-34.1125,270.0,top
R56,169.3,-34.1125,270.0,top
R57,165.875,-34.1125,270.0,top
R58,162.45,-34.1125,270.0,top
R59,159.025,-34.1125,270.0,top
R6,147.55,-33.9875,270.0,top
R65,131.297,-144.1005,270.0,top
R66,131.8812,-136.1033,270.0,top
R67,131.8812,-139.5069,270.0,top
R7,144.3,-33.9875,270.0,top
R8,168.7,-62.0875,270.0,top
R9,165.0,-61.9875,270.0,top
TP1,97.9,-20.105,0.0,top
TP10,97.9,-86.795,0.0,top
TP11,97.9,-16.4,0.0,top
TP12,97.9,-23.81,0.0,top
TP13,97.9,-31.22,0.0,top
TP14,97.9,-38.63,0.0,top
TP15,97.9,-46.04,0.0,top
TP16,97.9,-53.45,0.0,top
TP17,97.9,-60.86,0.0,top
TP18,97.9,-68.27,0.0,top
TP19,97.9,-75.68,0.0,top
TP2,97.9,-27.515,0.0,top
TP20,97.9,-83.09,0.0,top
TP21,97.9,-90.5,0.0,top
TP22,117.495,-48.285,90.0,top
TP23,121.3975,-48.3,90.0,top
TP24,125.3,-48.3,90.0,top
TP25,132.6,-48.3,90.0,top
TP26,136.533333,-48.3,90.0,top
TP27,140.466666,-48.3,90.0,top
TP28,120.5,-20.7,90.0,top
TP29,124.45,-20.7,90.0,top
TP3,97.9,-34.925,0.0,top
TP30,144.4,-48.3,90.0,top
TP31,148.2,-48.3,90.0,top
TP32,161.2,-75.1,90.0,top
TP33,165.15,-75.1,90.0,top
TP34,133.1,-20.7,90.0,top
TP35,136.65,-20.7,90.0,top
TP36,157.6,-48.4,90.0,top
